name,value,year,lastValue
"""Tax sur le carbone""",11,2016,0
"""Tax sur le carbone""",17,2016.1,11
"""Tax sur le carbone""",46,2016.2,17
"""Tax sur le carbone""",55,2016.3,46
"""Tax sur le carbone""",74,2016.4,55
"""Tax sur le carbone""",80,2016.5,74
"""Tax sur le carbone""",101,2016.6,80
"""Tax sur le carbone""",134,2016.7,101
"""Tax sur le carbone""",332,2016.8,134
"""Tax sur le carbone""",422,2016.9,332
"""Tax sur le carbone""",478,2017,422
"""Tax sur le carbone""",487,2017.1,478
"""Tax sur le carbone""",660,2017.2,487
"""Tax sur le carbone""",703,2017.3,660
"""Tax sur le carbone""",732,2017.4,703
"""Tax sur le carbone""",769,2017.5,732
"""Tax sur le carbone""",844,2017.6,769
"""Tax sur le carbone""",858,2017.7,844
"""Tax sur le carbone""",891,2017.8,858
"""Tax sur le carbone""",905,2017.9,891
"""Tax sur le carbone""",913,2018,905
"""Tax sur le carbone""",917,2018.1,913
"""Tax sur le carbone""",925,2018.2,917
"""Tax sur le carbone""",945,2018.3,925
"""Tax sur le carbone""",1078,2018.4,945
"""Tax sur le carbone""",1266,2018.5,1078
"""Tax sur le carbone""",1454,2018.6,1266
"""Tax sur le carbone""",1479,2018.7,1454
"""Tax sur le carbone""",1624,2018.8,1479
"""Tax sur le carbone""",1704,2018.9,1624
"""Tax sur le carbone""",1763,2019,1704
"""Tax sur le carbone""",1821,2019.1,1763
"""Tax sur le carbone""",1886,2019.2,1821
"""Tax sur le carbone""",1900,2019.3,1886
"""Tarification du carbone""",2,2016,0
"""Tarification du carbone""",6,2016.1,2
"""Tarification du carbone""",6,2016.2,6
"""Tarification du carbone""",6,2016.3,6
"""Tarification du carbone""",9,2016.4,6
"""Tarification du carbone""",10,2016.5,9
"""Tarification du carbone""",14,2016.6,10
"""Tarification du carbone""",14,2016.7,14
"""Tarification du carbone""",30,2016.8,14
"""Tarification du carbone""",35,2016.9,30
"""Tarification du carbone""",38,2017,35
"""Tarification du carbone""",38,2017.1,38
"""Tarification du carbone""",50,2017.2,38
"""Tarification du carbone""",50,2017.3,50
"""Tarification du carbone""",52,2017.4,50
"""Tarification du carbone""",54,2017.5,52
"""Tarification du carbone""",67,2017.6,54
"""Tarification du carbone""",70,2017.7,67
"""Tarification du carbone""",76,2017.8,70
"""Tarification du carbone""",76,2017.9,76
"""Tarification du carbone""",77,2018,76
"""Tarification du carbone""",77,2018.1,77
"""Tarification du carbone""",78,2018.2,77
"""Tarification du carbone""",79,2018.3,78
"""Tarification du carbone""",95,2018.4,79
"""Tarification du carbone""",112,2018.5,95
"""Tarification du carbone""",185,2018.6,112
"""Tarification du carbone""",193,2018.7,185
"""Tarification du carbone""",285,2018.8,193
"""Tarification du carbone""",316,2018.9,285
"""Tarification du carbone""",326,2019,316
"""Tarification du carbone""",351,2019.1,326
"""Tarification du carbone""",377,2019.2,351
"""Tarification du carbone""",387,2019.3,377
"""Tarification de la pollution""",0,2016,0
"""Tarification de la pollution""",0,2016.1,0
"""Tarification de la pollution""",0,2016.2,0
"""Tarification de la pollution""",0,2016.3,0
"""Tarification de la pollution""",0,2016.4,0
"""Tarification de la pollution""",0,2016.5,0
"""Tarification de la pollution""",0,2016.6,0
"""Tarification de la pollution""",0,2016.7,0
"""Tarification de la pollution""",0,2016.8,0
"""Tarification de la pollution""",0,2016.9,0
"""Tarification de la pollution""",0,2017,0
"""Tarification de la pollution""",0,2017.1,0
"""Tarification de la pollution""",1,2017.2,0
"""Tarification de la pollution""",2,2017.3,1
"""Tarification de la pollution""",2,2017.4,2
"""Tarification de la pollution""",3,2017.5,2
"""Tarification de la pollution""",3,2017.6,3
"""Tarification de la pollution""",3,2017.7,3
"""Tarification de la pollution""",3,2017.8,3
"""Tarification de la pollution""",3,2017.9,3
"""Tarification de la pollution""",3,2018,3
"""Tarification de la pollution""",3,2018.1,3
"""Tarification de la pollution""",4,2018.2,3
"""Tarification de la pollution""",4,2018.3,4
"""Tarification de la pollution""",5,2018.4,4
"""Tarification de la pollution""",5,2018.5,5
"""Tarification de la pollution""",5,2018.6,5
"""Tarification de la pollution""",5,2018.7,5
"""Tarification de la pollution""",5,2018.8,5
"""Tarification de la pollution""",8,2018.9,5
"""Tarification de la pollution""",10,2019,8
"""Tarification de la pollution""",12,2019.1,10
"""Tarification de la pollution""",12,2019.2,12
"""Tarification de la pollution""",12,2019.3,12
"""Systeme de plafonnement et d'echange""",0,2016,0
"""Systeme de plafonnement et d'echange""",1,2016.1,0
"""Systeme de plafonnement et d'echange""",1,2016.2,1
"""Systeme de plafonnement et d'echange""",2,2016.3,1
"""Systeme de plafonnement et d'echange""",2,2016.4,2
"""Systeme de plafonnement et d'echange""",2,2016.5,2
"""Systeme de plafonnement et d'echange""",2,2016.6,2
"""Systeme de plafonnement et d'echange""",2,2016.7,2
"""Systeme de plafonnement et d'echange""",13,2016.8,2
"""Systeme de plafonnement et d'echange""",14,2016.9,13
"""Systeme de plafonnement et d'echange""",15,2017,14
"""Systeme de plafonnement et d'echange""",15,2017.1,15
"""Systeme de plafonnement et d'echange""",27,2017.2,15
"""Systeme de plafonnement et d'echange""",27,2017.3,27
"""Systeme de plafonnement et d'echange""",27,2017.4,27
"""Systeme de plafonnement et d'echange""",30,2017.5,27
"""Systeme de plafonnement et d'echange""",33,2017.6,30
"""Systeme de plafonnement et d'echange""",33,2017.7,33
"""Systeme de plafonnement et d'echange""",34,2017.8,33
"""Systeme de plafonnement et d'echange""",35,2017.9,34
"""Systeme de plafonnement et d'echange""",35,2018,35
"""Systeme de plafonnement et d'echange""",35,2018.1,35
"""Systeme de plafonnement et d'echange""",35,2018.2,35
"""Systeme de plafonnement et d'echange""",35,2018.3,35
"""Systeme de plafonnement et d'echange""",39,2018.4,35
"""Systeme de plafonnement et d'echange""",41,2018.5,39
"""Systeme de plafonnement et d'echange""",42,2018.6,41
"""Systeme de plafonnement et d'echange""",42,2018.7,42
"""Systeme de plafonnement et d'echange""",44,2018.8,42
"""Systeme de plafonnement et d'echange""",44,2018.9,44
"""Systeme de plafonnement et d'echange""",46,2019,44
"""Systeme de plafonnement et d'echange""",46,2019.1,46
"""Systeme de plafonnement et d'echange""",47,2019.2,46
"""Systeme de plafonnement et d'echange""",47,2019.3,47
"""Tarification de la pollution par le carbone""",0,2016,0
"""Tarification de la pollution par le carbone""",0,2016.1,0
"""Tarification de la pollution par le carbone""",0,2016.2,0
"""Tarification de la pollution par le carbone""",0,2016.3,0
"""Tarification de la pollution par le carbone""",0,2016.4,0
"""Tarification de la pollution par le carbone""",0,2016.5,0
"""Tarification de la pollution par le carbone""",0,2016.6,0
"""Tarification de la pollution par le carbone""",0,2016.7,0
"""Tarification de la pollution par le carbone""",0,2016.8,0
"""Tarification de la pollution par le carbone""",0,2016.9,0
"""Tarification de la pollution par le carbone""",0,2017,0
"""Tarification de la pollution par le carbone""",0,2017.1,0
"""Tarification de la pollution par le carbone""",1,2017.2,0
"""Tarification de la pollution par le carbone""",1,2017.3,1
"""Tarification de la pollution par le carbone""",1,2017.4,1
"""Tarification de la pollution par le carbone""",2,2017.5,1
"""Tarification de la pollution par le carbone""",2,2017.6,2
