name,value,year,lastValue
"""Immigration""",64,2016,0
"""Immigration""",96,2016.1,64
"""Immigration""",129,2016.2,96
"""Immigration""",214,2016.3,129
"""Immigration""",247,2016.4,214
"""Immigration""",290,2016.5,247
"""Immigration""",351,2016.6,290
"""Immigration""",381,2016.7,351
"""Immigration""",473,2016.8,381
"""Immigration""",539,2016.9,473
"""Immigration""",577,2017,539
"""Immigration""",602,2017.1,577
"""Immigration""",685,2017.2,602
"""Immigration""",728,2017.3,685
"""Immigration""",743,2017.4,728
"""Immigration""",804,2017.5,743
"""Immigration""",880,2017.6,804
"""Immigration""",904,2017.7,880
"""Immigration""",945,2017.8,904
"""Immigration""",993,2017.9,945
"""Immigration""",1015,2018,993
"""Immigration""",1019,2018.1,1015
"""Immigration""",1049,2018.2,1019
"""Immigration""",1078,2018.3,1049
"""Immigration""",1191,2018.4,1078
"""Immigration""",1356,2018.5,1191
"""Immigration""",1416,2018.6,1356
"""Immigration""",1436,2018.7,1416
"""Immigration""",1477,2018.8,1436
"""Immigration""",1515,2018.9,1477
"""Immigration""",1544,2019,1515
"""Immigration""",1565,2019.1,1544
"""Immigration""",1592,2019.2,1565
"""Immigration""",1604,2019.3,1592
"""Small Business""",13,2016,0
"""Small Business""",27,2016.1,13
"""Small Business""",37,2016.2,27
"""Small Business""",51,2016.3,37
"""Small Business""",94,2016.4,51
"""Small Business""",138,2016.5,94
"""Small Business""",171,2016.6,138
"""Small Business""",184,2016.7,171
"""Small Business""",250,2016.8,184
"""Small Business""",289,2016.9,250
"""Small Business""",307,2017,289
"""Small Business""",311,2017.1,307
"""Small Business""",342,2017.2,311
"""Small Business""",367,2017.3,342
"""Small Business""",375,2017.4,367
"""Small Business""",397,2017.5,375
"""Small Business""",414,2017.6,397
"""Small Business""",468,2017.7,414
"""Small Business""",588,2017.8,468
"""Small Business""",654,2017.9,588
"""Small Business""",731,2018,654
"""Small Business""",735,2018.1,731
"""Small Business""",751,2018.2,735
"""Small Business""",760,2018.3,751
"""Small Business""",801,2018.4,760
"""Small Business""",822,2018.5,801
"""Small Business""",838,2018.6,822
"""Small Business""",846,2018.7,838
"""Small Business""",879,2018.8,846
"""Small Business""",935,2018.9,879
"""Small Business""",940,2019,935
"""Small Business""",957,2019.1,940
"""Small Business""",973,2019.2,957
"""Small Business""",975,2019.3,973
"""Pipeline""",4,2016,0
"""Pipeline""",42,2016.1,4
"""Pipeline""",51,2016.2,42
"""Pipeline""",59,2016.3,51
"""Pipeline""",70,2016.4,59
"""Pipeline""",78,2016.5,70
"""Pipeline""",86,2016.6,78
"""Pipeline""",93,2016.7,86
"""Pipeline""",102,2016.8,93
"""Pipeline""",117,2016.9,102
"""Pipeline""",132,2017,117
"""Pipeline""",133,2017.1,132
"""Pipeline""",164,2017.2,133
"""Pipeline""",167,2017.3,164
"""Pipeline""",177,2017.4,167
"""Pipeline""",228,2017.5,177
"""Pipeline""",245,2017.6,228
"""Pipeline""",253,2017.7,245
"""Pipeline""",283,2017.8,253
"""Pipeline""",288,2017.9,283
"""Pipeline""",289,2018,288
"""Pipeline""",293,2018.1,289
"""Pipeline""",347,2018.2,293
"""Pipeline""",355,2018.3,347
"""Pipeline""",450,2018.4,355
"""Pipeline""",527,2018.5,450
"""Pipeline""",603,2018.6,527
"""Pipeline""",618,2018.7,603
"""Pipeline""",623,2018.8,618
"""Pipeline""",640,2018.9,623
"""Pipeline""",651,2019,640
"""Pipeline""",661,2019.1,651
"""Pipeline""",667,2019.2,661
"""Pipeline""",668,2019.3,667
"""Canada Child Benefit""",39,2016,0
"""Canada Child Benefit""",104,2016.1,39
"""Canada Child Benefit""",130,2016.2,104
"""Canada Child Benefit""",155,2016.3,130
"""Canada Child Benefit""",225,2016.4,155
"""Canada Child Benefit""",303,2016.5,225
"""Canada Child Benefit""",351,2016.6,303
"""Canada Child Benefit""",367,2016.7,351
"""Canada Child Benefit""",446,2016.8,367
"""Canada Child Benefit""",505,2016.9,446
"""Canada Child Benefit""",581,2017,505
"""Canada Child Benefit""",586,2017.1,581
"""Canada Child Benefit""",650,2017.2,586
"""Canada Child Benefit""",711,2017.3,650
"""Canada Child Benefit""",738,2017.4,711
"""Canada Child Benefit""",793,2017.5,738
"""Canada Child Benefit""",826,2017.6,793
"""Canada Child Benefit""",848,2017.7,826
"""Canada Child Benefit""",917,2017.8,848
"""Canada Child Benefit""",1048,2017.9,917
"""Canada Child Benefit""",1064,2018,1048
"""Canada Child Benefit""",1070,2018.1,1064
"""Canada Child Benefit""",1099,2018.2,1070
"""Canada Child Benefit""",1125,2018.3,1099
"""Canada Child Benefit""",1175,2018.4,1125
"""Canada Child Benefit""",1209,2018.5,1175
"""Canada Child Benefit""",1252,2018.6,1209
"""Canada Child Benefit""",1261,2018.7,1252
"""Canada Child Benefit""",1291,2018.8,1261
"""Canada Child Benefit""",1361,2018.9,1291
"""Canada Child Benefit""",1372,2019,1361
"""Canada Child Benefit""",1405,2019.1,1372
"""Canada Child Benefit""",1467,2019.2,1405
"""Canada Child Benefit""",1474,2019.3,1467
"""Climate Change""",29,2016,0
"""Climate Change""",61,2016.1,29
"""Climate Change""",88,2016.2,61
"""Climate Change""",108,2016.3,88
"""Climate Change""",144,2016.4,108
"""Climate Change""",200,2016.5,144
"""Climate Change""",227,2016.6,200
"""Climate Change""",253,2016.7,227
"""Climate Change""",355,2016.8,253
