name,value,year,lastValue
"""Tax sur le carbone""",0,2016,0
"""Tax sur le carbone""",0,2016.1,0
"""Tax sur le carbone""",1,2016.2,0
"""Tax sur le carbone""",1,2016.3,1
"""Tax sur le carbone""",1,2016.4,1
"""Tax sur le carbone""",3,2016.5,1
"""Tax sur le carbone""",3,2016.6,3
"""Tax sur le carbone""",7,2016.7,3
"""Tax sur le carbone""",18,2016.8,7
"""Tax sur le carbone""",20,2016.9,18
"""Tax sur le carbone""",26,2017,20
"""Tax sur le carbone""",26,2017.1,26
"""Tax sur le carbone""",34,2017.2,26
"""Tax sur le carbone""",34,2017.3,34
"""Tax sur le carbone""",34,2017.4,34
"""Tax sur le carbone""",35,2017.5,34
"""Tax sur le carbone""",39,2017.6,35
"""Tax sur le carbone""",39,2017.7,39
"""Tax sur le carbone""",42,2017.8,39
"""Tax sur le carbone""",46,2017.9,42
"""Tax sur le carbone""",46,2018,46
"""Tax sur le carbone""",47,2018.1,46
"""Tax sur le carbone""",47,2018.2,47
"""Tax sur le carbone""",47,2018.3,47
"""Tax sur le carbone""",52,2018.4,47
"""Tax sur le carbone""",73,2018.5,52
"""Tax sur le carbone""",81,2018.6,73
"""Tax sur le carbone""",81,2018.7,81
"""Tax sur le carbone""",87,2018.8,81
"""Tax sur le carbone""",90,2018.9,87
"""Tax sur le carbone""",91,2019,90
"""Tax sur le carbone""",91,2019.1,91
"""Tax sur le carbone""",91,2019.2,91
"""Tax sur le carbone""",92,2019.3,91
"""Tarification du carbone""",1,2016,0
"""Tarification du carbone""",2,2016.1,1
"""Tarification du carbone""",6,2016.2,2
"""Tarification du carbone""",11,2016.3,6
"""Tarification du carbone""",14,2016.4,11
"""Tarification du carbone""",20,2016.5,14
"""Tarification du carbone""",27,2016.6,20
"""Tarification du carbone""",34,2016.7,27
"""Tarification du carbone""",80,2016.8,34
"""Tarification du carbone""",88,2016.9,80
"""Tarification du carbone""",93,2017,88
"""Tarification du carbone""",93,2017.1,93
"""Tarification du carbone""",119,2017.2,93
"""Tarification du carbone""",124,2017.3,119
