name,value,year,lastValue
"""Immigration""",4,2016,0
"""Immigration""",12,2016.1,4
"""Immigration""",25,2016.2,12
"""Immigration""",46,2016.3,25
"""Immigration""",50,2016.4,46
"""Immigration""",61,2016.5,50
"""Immigration""",76,2016.6,61
"""Immigration""",96,2016.7,76
"""Immigration""",111,2016.8,96
"""Immigration""",131,2016.9,111
"""Immigration""",138,2017,131
"""Immigration""",150,2017.1,138
"""Immigration""",198,2017.2,150
"""Immigration""",214,2017.3,198
"""Immigration""",214,2017.4,214
"""Immigration""",214,2017.5,214
"""Immigration""",214,2017.6,214
"""Immigration""",226,2017.7,214
"""Immigration""",245,2017.8,226
"""Immigration""",261,2017.9,245
"""Immigration""",269,2018,261
"""Immigration""",270,2018.1,269
"""Immigration""",280,2018.2,270
"""Immigration""",294,2018.3,280
"""Immigration""",325,2018.4,294
"""Immigration""",348,2018.5,325
"""Immigration""",369,2018.6,348
"""Immigration""",378,2018.7,369
"""Immigration""",394,2018.8,378
"""Immigration""",412,2018.9,394
"""Immigration""",422,2019,412
"""Immigration""",431,2019.1,422
"""Immigration""",434,2019.2,431
"""Immigration""",437,2019.3,434
"""Crime""",3,2016,0
"""Crime""",3,2016.1,3
"""Crime""",14,2016.2,3
"""Crime""",22,2016.3,14
"""Crime""",33,2016.4,22
"""Crime""",47,2016.5,33
"""Crime""",87,2016.6,47
"""Crime""",102,2016.7,87
"""Crime""",113,2016.8,102
"""Crime""",124,2016.9,113
"""Crime""",130,2017,124
"""Crime""",131,2017.1,130
"""Crime""",142,2017.2,131
"""Crime""",148,2017.3,142
"""Crime""",148,2017.4,148
"""Crime""",148,2017.5,148
"""Crime""",148,2017.6,148
"""Crime""",160,2017.7,148
"""Crime""",171,2017.8,160
"""Crime""",184,2017.9,171
"""Crime""",196,2018,184
"""Crime""",198,2018.1,196
"""Crime""",209,2018.2,198
"""Crime""",216,2018.3,209
"""Crime""",233,2018.4,216
"""Crime""",241,2018.5,233
"""Crime""",251,2018.6,241
"""Crime""",265,2018.7,251
"""Crime""",288,2018.8,265
"""Crime""",308,2018.9,288
"""Crime""",317,2019,308
"""Crime""",318,2019.1,317
"""Crime""",333,2019.2,318
"""Crime""",336,2019.3,333
"""Pipeline""",7,2016,0
"""Pipeline""",38,2016.1,7
"""Pipeline""",39,2016.2,38
"""Pipeline""",42,2016.3,39
"""Pipeline""",44,2016.4,42
"""Pipeline""",53,2016.5,44
"""Pipeline""",54,2016.6,53
"""Pipeline""",64,2016.7,54
"""Pipeline""",72,2016.8,64
"""Pipeline""",96,2016.9,72
"""Pipeline""",116,2017,96
"""Pipeline""",117,2017.1,116
"""Pipeline""",134,2017.2,117
"""Pipeline""",136,2017.3,134
"""Pipeline""",136,2017.4,136
"""Pipeline""",136,2017.5,136
"""Pipeline""",136,2017.6,136
"""Pipeline""",146,2017.7,136
"""Pipeline""",164,2017.8,146
"""Pipeline""",177,2017.9,164
"""Pipeline""",178,2018,177
"""Pipeline""",178,2018.1,178
"""Pipeline""",202,2018.2,178
"""Pipeline""",209,2018.3,202
"""Pipeline""",265,2018.4,209
"""Pipeline""",322,2018.5,265
"""Pipeline""",449,2018.6,322
"""Pipeline""",495,2018.7,449
"""Pipeline""",543,2018.8,495
"""Pipeline""",574,2018.9,543
"""Pipeline""",592,2019,574
"""Pipeline""",607,2019.1,592
"""Pipeline""",629,2019.2,607
"""Pipeline""",633,2019.3,629
"""Seniors""",16,2016,0
"""Seniors""",44,2016.1,16
"""Seniors""",64,2016.2,44
"""Seniors""",80,2016.3,64
"""Seniors""",110,2016.4,80
"""Seniors""",141,2016.5,110
"""Seniors""",159,2016.6,141
"""Seniors""",166,2016.7,159
"""Seniors""",219,2016.8,166
"""Seniors""",296,2016.9,219
"""Seniors""",309,2017,296
"""Seniors""",311,2017.1,309
"""Seniors""",340,2017.2,311
"""Seniors""",360,2017.3,340
"""Seniors""",360,2017.4,360
"""Seniors""",360,2017.5,360
"""Seniors""",360,2017.6,360
"""Seniors""",369,2017.7,360
"""Seniors""",402,2017.8,369
"""Seniors""",417,2017.9,402
"""Seniors""",422,2018,417
"""Seniors""",424,2018.1,422
"""Seniors""",447,2018.2,424
"""Seniors""",460,2018.3,447
"""Seniors""",474,2018.4,460
"""Seniors""",495,2018.5,474
"""Seniors""",506,2018.6,495
"""Seniors""",537,2018.7,506
"""Seniors""",559,2018.8,537
"""Seniors""",591,2018.9,559
"""Seniors""",598,2019,591
"""Seniors""",625,2019.1,598
"""Seniors""",641,2019.2,625
"""Seniors""",651,2019.3,641
"""Climate Change""",14,2016,0
"""Climate Change""",35,2016.1,14
"""Climate Change""",39,2016.2,35
"""Climate Change""",45,2016.3,39
"""Climate Change""",62,2016.4,45
"""Climate Change""",74,2016.5,62
"""Climate Change""",86,2016.6,74
"""Climate Change""",100,2016.7,86
"""Climate Change""",143,2016.8,100
"""Climate Change""",152,2016.9,143
"""Climate Change""",166,2017,152
"""Climate Change""",168,2017.1,166
"""Climate Change""",192,2017.2,168
"""Climate Change""",197,2017.3,192
"""Climate Change""",197,2017.4,197
"""Climate Change""",197,2017.5,197
"""Climate Change""",197,2017.6,197
"""Climate Change""",207,2017.7,197
"""Climate Change""",227,2017.8,207
"""Climate Change""",247,2017.9,227
"""Climate Change""",250,2018,247
"""Climate Change""",250,2018.1,250
"""Climate Change""",260,2018.2,250
"""Climate Change""",267,2018.3,260
"""Climate Change""",303,2018.4,267
"""Climate Change""",341,2018.5,303
"""Climate Change""",397,2018.6,341
"""Climate Change""",408,2018.7,397
"""Climate Change""",469,2018.8,408
"""Climate Change""",497,2018.9,469
"""Climate Change""",516,2019,497
"""Climate Change""",525,2019.1,516
"""Climate Change""",544,2019.2,525
"""Climate Change""",547,2019.3,544
"""Middle Class""",15,2016,0
"""Middle Class""",50,2016.1,15
"""Middle Class""",61,2016.2,50
"""Middle Class""",80,2016.3,61
"""Middle Class""",93,2016.4,80
"""Middle Class""",125,2016.5,93
"""Middle Class""",154,2016.6,125
"""Middle Class""",169,2016.7,154
"""Middle Class""",183,2016.8,169
"""Middle Class""",202,2016.9,183
"""Middle Class""",223,2017,202
"""Middle Class""",224,2017.1,223
"""Middle Class""",247,2017.2,224
"""Middle Class""",263,2017.3,247
"""Middle Class""",263,2017.4,263
"""Middle Class""",263,2017.5,263
"""Middle Class""",263,2017.6,263
"""Middle Class""",267,2017.7,263
"""Middle Class""",297,2017.8,267
"""Middle Class""",340,2017.9,297
"""Middle Class""",343,2018,340
