name,value,year,lastValue
Pipelines,19,1,19
Pipelines,12,2,19
Pipelines,14,3,12
Pipelines,16,4,14
Pipelines,9,5,16
Pipelines,7,6,9
Pipelines,14,7,7
Pipelines,11,8,14
Pipelines,11,9,11
Pipelines,5,10,11
Pipelines,7,11,5
Pipelines,7,12,7
International (excl. US),11,1,11
International (excl. US),22,2,11
International (excl. US),17,3,22
International (excl. US),21,4,17
International (excl. US),19,5,21
International (excl. US),9,6,19
International (excl. US),8,7,9
International (excl. US),6,8,8
International (excl. US),8,9,6
International (excl. US),7,10,8
International (excl. US),2,11,7
International (excl. US),4,12,2
Immigration,5,1,5.00
Immigration,11,2,5
Immigration,9,3,11
Immigration,9,4,9
Immigration,5,5,9
Immigration,4,6,5
Immigration,6,7,4
Immigration,4,8,6
Immigration,5,9,4
Immigration,4,10,5
Immigration,6,11,4
Immigration,4,12,6
Canada - US,8,1,8
Canada - US,7,2,8
Canada - US,7,3,7
Canada - US,10,4,7
Canada - US,8,5,10
Canada - US,4,6,8
Canada - US,2,7,4
Canada - US,3,8,2
Canada - US,3,9,3
Canada - US,3,10,3
Canada - US,4,11,3
Canada - US,3,12,4
Marijuana,8,1,8
Marijuana,5,2,8
Marijuana,4,3,5
Marijuana,6,4,4
Marijuana,3,5,6
Marijuana,3,6,3
Marijuana,3,7,3
Marijuana,4,8,3
Marijuana,2,9,4
Marijuana,1,10,2
Marijuana,2,11,1
Marijuana,3,12,2
Environment,4,1,4
Environment,3,2,4
Environment,3,3,3
Environment,2,4,3
Environment,2,5,2
Environment,3,6,2
Environment,2,7,3
Environment,3,8,2
Environment,5,9,3
Environment,2,10,5
Environment,4,11,2
Environment,5,12,4
First Nations,4,1,4
First Nations,3,2,4
First Nations,3,3,3
First Nations,2,4,3
First Nations,2,5,2
First Nations,2,6,2
First Nations,3,7,2
First Nations,2,8,3
First Nations,5,9,2
First Nations,6,10,5
First Nations,3,11,6
First Nations,3,12,3
PM in media,3,1,3
PM in media,3,2,3
PM in media,4,3,3
PM in media,2,4,4
PM in media,5,5,2
PM in media,3,6,5
PM in media,5,7,3
PM in media,3,8,5
PM in media,8,9,3
PM in media,5,10,8
PM in media,4,11,5
PM in media,4,12,4
Jobs,4,1,4
Jobs,1,2,4
Jobs,1,3,1
Jobs,3,4,1
Jobs,1,5,3
Jobs,1,6,1
Jobs,1,7,1
Jobs,2,8,1
Jobs,1,9,2
Jobs,2,10,1
Jobs,1,11,2
Jobs,1,12,1
Healthcare,2,1,2
Healthcare,1,2,2
Healthcare,2,3,1
Healthcare,3,4,2
Healthcare,2,5,3
Healthcare,1,6,2
Healthcare,3,7,1
Healthcare,4,8,3
Healthcare,3,9,4
Healthcare,2,10,3
Healthcare,1,11,2
Healthcare,2,12,1
Education,1,1,1
Education,0,2,1
Education,3,3,0
Education,1,4,3
Education,2,5,1
Education,1,6,2
Education,2,7,1
Education,0,8,2
Education,2,9,0
Education,2,10,2
Education,1,11,2
Education,3,12,1
Cabinet Shuffle,0,1,0
Cabinet Shuffle,4,2,0
Cabinet Shuffle,0,3,4
Cabinet Shuffle,0,4,0
Cabinet Shuffle,1,5,0
Cabinet Shuffle,6,6,1
Cabinet Shuffle,6,7,6
Cabinet Shuffle,3,8,6
Cabinet Shuffle,10,9,3
Cabinet Shuffle,9,10,10
Cabinet Shuffle,5,11,9
Cabinet Shuffle,4,12,5
Budget,1,1,1
Budget,1,2,1
Budget,2,3,1
Budget,0,4,2
Budget,1,5,0
Budget,1,6,1
Budget,1,7,1
Budget,0,8,1
Budget,2,9,0
Budget,1,10,2
Budget,17,11,1
Budget,14,12,17
SNC-Lavalin,0,1,0
SNC-Lavalin,0,2,0
SNC-Lavalin,0,3,0
SNC-Lavalin,0,4,0
SNC-Lavalin,2,5,0
SNC-Lavalin,16,6,2
SNC-Lavalin,23,7,16
SNC-Lavalin,28,8,23
SNC-Lavalin,35,9,28
SNC-Lavalin,34,10,35
SNC-Lavalin,29,11,34
SNC-Lavalin,28,12,29
Housing,0,1,0
Housing,0,2,0
Housing,0,3,0
Housing,0,4,0
Housing,0,5,0
Housing,0,6,0
Housing,0,7,0
Housing,0,8,0
Housing,0,9,0
Housing,1,10,0
Housing,1,11,1
Housing,4,12,1
