name,value,year,lastValue
Environment,12%,2016.5,12%
Environment,8%,2016.583333,12%
Environment,6%,2016.666667,8%
Environment,4%,2016.75,6%
Environment,4%,2016.833333,4%
Environment,2%,2016.916667,4%
Environment,5%,2017,2%
Environment,3%,2017.083333,5%
Environment,10%,2017.166667,3%
Environment,16%,2017.25,10%
Environment,8%,2017.333333,16%
Environment,4%,2017.416667,8%
Environment,7%,2017.5,4%
Environment,2%,2017.583333,7%
Environment,16%,2017.666667,2%
Environment,17%,2017.75,16%
Environment,12%,2017.833333,17%
Environment,8%,2017.916667,12%
Environment,6%,2018,8%
Environment,4%,2018.083333,6%
Environment,4%,2018.166667,4%
Environment,2%,2018.25,4%
Environment,5%,2018.333333,2%
Environment,3%,2018.416667,5%
Environment,10%,2018.5,3%
Environment,16%,2018.583333,10%
Environment,8%,2018.666667,16%
Environment,4%,2018.75,8%
Environment,7%,2018.833333,4%
Environment,2%,2018.916667,7%
Environment,16%,2019,2%
Environment,17%,2019.083333,16%
Environment,3%,2019.166667,17%
